suite,metric_name,case,tier,baseline_tier,n,baseline_n,mean,baseline_mean,delta,delta_pct,p_value
A,suite_a.accuracy,baseline,no-memory,summary,97,97,0.000000,0.555556,-0.555556,-1.000000,0.000000
A,suite_a.faithfulness,baseline,no-memory,summary,97,97,0.000000,0.555556,-0.555556,-1.000000,0.000000
A,suite_a.drift,baseline,no-memory,summary,97,97,1.000000,0.444444,0.555556,1.250000,0.000000
A,suite_a.questions,baseline,no-memory,summary,97,97,36.000000,36.000000,0.000000,0.000000,nan
A,case.completed,baseline,no-memory,summary,97,97,1.000000,1.000000,0.000000,0.000000,nan
A,suite_a.accuracy,baseline,vector,summary,97,97,1.000000,0.555556,0.444444,0.800000,0.000000
A,suite_a.faithfulness,baseline,vector,summary,97,97,1.000000,0.555556,0.444444,0.800000,0.000000
A,suite_a.drift,baseline,vector,summary,97,97,0.000000,0.444444,-0.444444,-1.000000,0.000000
A,suite_a.questions,baseline,vector,summary,97,97,36.000000,36.000000,0.000000,0.000000,nan
A,case.completed,baseline,vector,summary,97,97,1.000000,1.000000,0.000000,0.000000,nan
A,suite_a.accuracy,baseline,graph,summary,82,97,1.000000,0.555556,0.444444,0.800000,0.000000
A,suite_a.faithfulness,baseline,graph,summary,82,97,1.000000,0.555556,0.444444,0.800000,0.000000
A,suite_a.drift,baseline,graph,summary,82,97,0.000000,0.444444,-0.444444,-1.000000,0.000000
A,suite_a.questions,baseline,graph,summary,82,97,36.000000,36.000000,0.000000,0.000000,nan
A,case.completed,baseline,graph,summary,82,97,1.000000,1.000000,0.000000,0.000000,nan
A,suite_a.accuracy,baseline,hybrid,summary,84,97,1.000000,0.555556,0.444444,0.800000,0.000000
A,suite_a.faithfulness,baseline,hybrid,summary,84,97,1.000000,0.555556,0.444444,0.800000,0.000000
A,suite_a.drift,baseline,hybrid,summary,84,97,0.000000,0.444444,-0.444444,-1.000000,0.000000
A,suite_a.questions,baseline,hybrid,summary,84,97,36.000000,36.000000,0.000000,0.000000,nan
A,case.completed,baseline,hybrid,summary,84,97,1.000000,1.000000,0.000000,0.000000,nan
